id,name,first,last,us_seed,us_rd,p1,p2,p3,p4,p5,p6,country,age,year_w,year_l,recent_w,recent_l,upset_ok
osaka,Naomi Osaka,Naomi,Osaka,15,2,0.59,0.93,0.35,0.47,0.42,0.20,JPN,28,4,1,8,2,1
shnai,Diana Shnaider,Diana,Shnaider,16,2,0.63,0.85,0.30,0.54,0.37,0.03,RUS,22,0,2,6,4,1
jovic,Iva Jovic,Iva,Jovic,17,2,0.57,0.94,0.38,0.56,0.36,0.05,USA,18,3,1,7,3,1
cirst,Sorana Cirstea,Sorana,Cirstea,18,2,0.62,0.92,0.36,0.42,0.37,0.14,ROU,36,1,1,7,3,1
alexa,Ekaterina Alexandrova,Ekaterina,Alexandrova,19,2,0.61,0.91,0.38,0.46,0.36,0.11,RUS,31,3,3,5,5,1
kalin,Anna Kalinskaya,Anna,Kalinskaya,20,2,0.62,0.85,0.29,0.48,0.42,0.10,RUS,27,1,2,6,4,1
chwal,Maja Chwalinska,Maja,Chwalinska,21,2,0.70,0.91,0.39,0.40,0.30,0.02,POL,24,0,0,8,2,0
bouzk,Marie Bouzkova,Marie,Bouzkova,22,2,0.71,0.83,0.35,0.49,0.37,0.03,CZE,27,6,1,8,2,1
ferna,Leylah Annie Fernandez,Leylah,Annie Fernandez,23,2,0.60,0.83,0.28,0.39,0.36,0.09,CAN,23,1,3,3,7,1
navar,Emma Navarro,Emma,Navarro,24,2,0.57,0.87,0.30,0.40,0.40,0.08,USA,25,6,3,7,3,1
tauso,Clara Tauson,Clara,Tauson,25,2,0.60,0.86,0.25,0.44,0.37,0.19,DEN,23,2,3,2,8,1
merte,Elise Mertens,Elise,Mertens,26,2,0.57,0.80,0.37,0.52,0.39,0.10,BEL,30,3,3,7,3,1
keys,Madison Keys,Madison,Keys,27,2,0.62,0.88,0.35,0.43,0.44,0.11,USA,31,7,1,8,2,1
potap,Anastasia Potapova,Anastasia,Potapova,28,2,0.52,0.88,0.29,0.39,0.38,0.04,AUT,25,1,2,5,5,0
li,Ann Li,Ann,Li,29,2,0.60,0.88,0.37,0.41,0.35,0.17,USA,25,2,2,5,5,1
eala,Alexandra Eala,Alexandra,Eala,30,2,0.59,0.95,0.39,0.47,0.38,0.06,PHI,21,9,3,6,4,1
bapti,Hailey Baptiste,Hailey,Baptiste,31,2,0.55,0.89,0.36,0.40,0.37,0.08,USA,24,0,0,6,4,0
raduc,Emma Raducanu,Emma,Raducanu,32,2,0.68,0.87,0.41,0.51,0.38,0.05,GBR,23,4,1,5,5,0
vekic,Donna Vekic,Donna,Vekic,33,2,0.56,0.90,0.37,0.50,0.36,0.11,CRO,29,6,2,6,4,1
sinia,Katerina Siniakova,Katerina,Siniakova,34,2,0.60,0.80,0.30,0.43,0.41,0.09,CZE,30,3,2,5,5,1
ostap,Jelena Ostapenko,Jelena,Ostapenko,35,2,0.57,0.76,0.44,0.53,0.41,0.16,LAT,29,3,1,6,4,1
bucsa,Cristina Bucsa,Cristina,Bucsa,36,2,0.66,0.88,0.37,0.45,0.39,0.04,ESP,28,0,0,4,6,0
krejc,Barbora Krejcikova,Barbora,Krejcikova,37,2,0.61,0.89,0.35,0.43,0.38,0.08,CZE,30,4,1,7,3,1
crist,Jaqueline Cristian,Jaqueline,Cristian,38,2,0.62,0.88,0.23,0.38,0.36,0.08,ROU,28,1,1,4,6,0
sakka,Maria Sakkari,Maria,Sakkari,39,2,0.54,0.87,0.25,0.51,0.36,0.12,GRE,30,0,2,4,6,1
siege,Laura Siegemund,Laura,Siegemund,40,2,0.74,0.88,0.33,0.51,0.39,0.01,GER,38,1,2,4,6,0
tjen,Janice Tjen,Janice,Tjen,41,2,0.66,0.90,0.32,0.46,0.39,0.06,INA,24,1,4,3,7,1
samso,Liudmila Samsonova,Liudmila,Samsonova,42,2,0.53,0.87,0.37,0.49,0.40,0.12,RUS,27,1,3,3,7,1
frech,Magdalena Frech,Magdalena,Frech,43,2,0.58,0.85,0.31,0.32,0.35,0.09,POL,28,1,3,3,7,1
cocci,Elisabetta Cocciaretto,Elisabetta,Cocciaretto,44,2,0.58,0.86,0.35,0.47,0.40,0.06,ITA,25,0,1,4,6,0
bejle,Sara Bejlek,Sara,Bejlek,45,2,0.56,0.93,0.36,0.41,0.35,0.04,CZE,20,1,2,2,8,1
bartu,Nikola Bartunkova,Nikola,Bartunkova,46,2,0.53,0.86,0.35,0.50,0.37,0.15,CZE,20,6,3,6,4,1
parry,Diane Parry,Diane,Parry,47,2,0.59,0.87,0.32,0.41,0.41,0.14,FRA,23,4,2,6,4,1
manei,Jessica Bouzas Maneiro,Jessica,Bouzas Maneiro,48,2,0.59,0.91,0.38,0.49,0.34,0.03,ESP,23,3,3,5,5,1
oliyn,Oleksandra Oliynykova,Oleksandra,Oliynykova,49,2,0.67,0.87,0.31,0.35,0.15,0.02,UKR,25,0,1,5,5,0
mcnal,Caty McNally,Caty,McNally,50,2,0.73,0.76,0.35,0.44,0.40,0.04,USA,24,5,3,6,4,1
