id,name,first,last,wim_seed,wim_rd,wim_next,p1,p2,p3,p4,p5
cilic,Marin Cilic,Marin,Cilic,,,,,,,,
coria,Federico Coria,Federico,Coria,,,,,,,,
coric,Borna Coric,Borna,Coric,14,,,,,,,
cress,Maxime Cressy,Maxime,Cressy,,,,,,,,
danie,Taro Daniel,Taro,Daniel,,,,,,,,
david,Alejandro Davidovich Fokina,Alejandro,Davidovich Fokina,31,,,,,,,
demin,Alex De Minaur,Alex,De Minaur,,,,,,,,
delli,Hugo Dellien,Hugo,Dellien,,,,,,,,
djere,Laslo Djere,Laslo,Djere,,,,,,,,
drape,Jack Draper,Jack,Draper,,,,,,,,
duckw,James Duckworth,James,Duckworth,,,,,,,,
elahi,Daniel Elahi Galan,Daniel,Elahi Galan,,,,,,,,
etche,Tomas Martin Etcheverry,Tomas Martin,Etcheverry,,,,,,,,
evans,Daniel Evans,Daniel,Evans,,,,,,,,
fils,Arthur Fils,Arthur,Fils,,,,,,,,
fogni,Fabio Fognini,Fabio,Fognini,,,,,,,,
fritz,Taylor Fritz,Taylor,Fritz,9,,,,,,,
fucso,Marton Fucsovics,Marton,Fucsovics,,,,,,,,
garin,Cristian Garin,Cristian,Garin,,,,,,,,
gasqu,Richard Gasquet,Richard,Gasquet,,,,,,,,
gasto,Hugo Gaston,Hugo,Gaston,,,,,,,,
giron,Marcos Giron,Marcos,Giron,,,,,,,,
goffi,David Goffin,David,Goffin,,,,,,,,
gojo,Borna Gojo,Borna,Gojo,,,,,,,,
gombo,Norbert Gombos,Norbert,Gombos,,,,,,,,
gomez,Emilio Gomez,Emilio,Gomez,,,,,,,,
greni,Hugo Grenier,Hugo,Grenier,,,,,,,,
griek,Tallon Griekspoor,Tallon,Griekspoor,,,,,,,,
halys,Quentin Halys,Quentin,Halys,,,,,,,,
hanfm,Yannick Hanfmann,Yannick,Hanfmann,,,,,,,,
hijik,Rinky Hijikata,Rinky,Hijikata,,,,,,,,
huesl,Marc-Andrea Huesler,Marc-Andrea,Huesler,,,,,,,,
humbe,Ugo Humbert,Ugo,Humbert,,,,,,,,
isner,John Isner,John,Isner,,,,,,,,
ivash,Ilya Ivashka,Ilya,Ivashka,,,,,,,,
jarry,Nicolas Jarry,Nicolas,Jarry,,,,,,,,
karat,Aslan Karatsev,Aslan,Karatsev,,,,,,,,
kecma,Miomir Kecmanovic,Miomir,Kecmanovic,,,,,,,,
khach,Karen Khachanov,Karen,Khachanov,11,,,,,,,
klein,Lukas Klein,Lukas,Klein,,,,,,,,
kokki,Thanasi Kokkinakis,Thanasi,Kokkinakis,,,,,,,,
korda,Sebastian Korda,Sebastian,Korda,,,,,,,,
kotov,Pavel Kotov,Pavel,Kotov,,,,,,,,
kovac,Aleksandar Kovacevic,Aleksandar,Kovacevic,,,,,,,,
koval,Jozef Kovalik,Jozef,Kovalik,,,,,,,,
kraji,Filip Krajinovic,Filip,Krajinovic,,,,,,,,
kuble,Jason Kubler,Jason,Kubler,,,,,,,,
kudla,Denis Kudla,Denis,Kudla,,,,,,,,
kwon,SoonWoo Kwon,SoonWoo,Kwon,,,,,,,,
kyrgi,Nick Kyrgios,Nick,Kyrgios,,,,,,,,
lajov,Dusan Lajovic,Dusan,Lajovic,,,,,,,,
lesti,Constant Lestienne,Constant,Lestienne,,,,,,,,
macha,Tomas Machac,Tomas,Machac,,,,,,,,
manna,Adrian Mannarino,Adrian,Mannarino,,,,,,,,
maroz,Fabian Marozsan,Fabian,Marozsan,,,,,,,,
marte,Maximilian Marterer,Maximilian,Marterer,,,,,,,,
marti,Pedro Martinez,Pedro,Martinez,,,,,,,,
mcdon,Mackenzie McDonald,Mackenzie,McDonald,,,,,,,,
misol,Filip Misolic,Filip,Misolic,,,,,,,,
mmoh,Michael Mmoh,Michael,Mmoh,,,,,,,,
molca,Alex Molcan,Alex,Molcan,,,,,,,,
monte,Thiago Monteiro,Thiago,Monteiro,,,,,,,,
moute,Corentin Moutet,Corentin,Moutet,,,,,,,,
mulle,Alexandre Muller,Alexandre,Muller,,,,,,,,
munar,Jaume Munar,Jaume,Munar,,,,,,,,
murra,Andy Murray,Andy,Murray,,,,,,,,
muset,Lorenzo Musetti,Lorenzo,Musetti,14,,,,,,,
nadal,Rafael Nadal,Rafael,Nadal,,,,,,,,
nakas,Brandon Nakashima,Brandon,Nakashima,,,,,,,,
nishi,Yoshihito Nishioka,Yoshihito,Nishioka,,,,,,,,
norri,Cameron Norrie,Cameron,Norrie,13,,,,,,,
oconn,Christopher O'Connell,Christopher,O'Connell,,,,,,,,
ofner,Sebastian Ofner,Sebastian,Ofner,,,,,,,,
otte,Oscar Otte,Oscar,Otte,,,,,,,,
passa,Francesco Passaro,Francesco,Passaro,,,,,,,,
paul,Tommy Paul,Tommy,Paul,16,,,,,,,
piros,Zsombor Piros,Zsombor,Piros,,,,,,,,
popyr,Alexei Popyrin,Alexei,Popyrin,,,,,,,,
purce,Max Purcell,Max,Purcell,,,,,,,,
ramos,Albert Ramos-Vinolas,Albert,Ramos-Vinolas,,,,,,,,
rinde,Arthur Rinderknech,Arthur,Rinderknech,,,,,,,,
rodio,Jurij Rodionov,Jurij,Rodionov,,,,,,,,
ruud,Casper Ruud,Casper,Ruud,4,,,,,,,
ruusu,Emil Ruusuvuori,Emil,Ruusuvuori,,,,,,,,
schwa,Diego Schwartzman,Diego,Schwartzman,,,,,,,,
shelt,Ben Shelton,Ben,Shelton,,,,,,,,
shevc,Alexander Shevchenko,Alexander,Shevchenko,,,,,,,,
skato,Timofey Skatov,Timofey,Skatov,,,,,,,,
soneg,Lorenzo Sonego,Lorenzo,Sonego,,,,,,,,
stric,Dominic Stricker,Dominic,Stricker,,,,,,,,
struf,Jan-Lennard Struff,Jan-Lennard,Struff,,,,,,,,
thiem,Dominic Thiem,Dominic,Thiem,,,,,,,,
thomp,Jordan Thompson,Jordan,Thompson,,,,,,,,
tiafo,Frances Tiafoe,Frances,Tiafoe,10,,david,,,,,
uchid,Kaichi Uchida,Kaichi,Uchida,,,,,,,,
vanas,Luca Van Assche,Luca,Van Assche,,,,,,,,
vande,Botic Van De Zandschulp,Botic,Van De Zandschulp,,,,,,,,
varil,Juan Pablo Varillas,Juan Pablo,Varillas,,,,,,,,
virta,Otto Virtanen,Otto,Virtanen,,,,,,,,
vukic,Aleksandar Vukic,Aleksandar,Vukic,,,,,,,,
watan,Yosuke Watanuki,Yosuke,Watanuki,,,,,,,,
wawri,Stan Wawrinka,Stan,Wawrinka,,,,,,,,
wolf,J.J. Wolf,J.J.,Wolf,,,,,,,,
wu,Yibing Wu,Yibing,Wu,,,,,,,,
ymerm,Mikael Ymer,Mikael,Ymer,,,,,,,,
ymere,Elias Ymer,Elias,Ymer,,,,,,,,
zapat,Bernabe Zapata Miralles,Bernabe,Zapata Miralles,,,,,,,,
zeppi,Giulio Zeppieri,Giulio,Zeppieri,,,,,,,,
zhang,Zhizhen Zhang,Zhizhen,Zhang,,,,,,,,
zvere,Alexander Zverev,Alexander,Zverev,19,,,,,,,
